t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz,thrust_N,roll,pitch
0,1.5,0,1,0,4,0,-10.6666666666667,0,0,0,0,0.915677876405488,0,-0.401912959061456,0,3.39109420270213,0,-0.827210017118799
0.02,1.49786717229774,0.079962079467618,1,-0.213232211913649,3.99431245946063,0,-10.651499891895,-0.56861923176973,0,0,0,0.915604233464174,0.026513435983169,-0.401037484998475,-0.011612966931279,3.39109420270213,0.085275580256503,-0.823850710310714
0.04,1.49147475446295,0.159696765150944,1,-0.425858040402518,3.97726601190121,0,-10.6060426984032,-1.13562144107338,0,0,0,0.915389359886072,0.052807150113141,-0.39842870323116,-0.022984628468405,3.39109420270213,0.168268469920663,-0.813953276884566
0.06,1.48084092506344,0.238977309921369,1,-0.637272826456984,3.94890913350251,0,-10.5304243560067,-1.69939420388529,0,0,0,0.915050657975333,0.078671631540439,-0.394138048216994,-0.033886083830597,3.39109420270213,0.24700152211855,-0.798028032038964
0.08,1.4659959242671,0.31757825812271,1,-0.846875354993893,3.90932246471226,0,-10.4248599058994,-2.25833427998371,0,0,0,0.914614743634533,0.103916523952929,-0.388246548872074,-0.044111722532683,3.39109420270213,0.320015364158041,-0.776832619848895
0.1,1.44698196784585,0.395276086715303,1,-1.05406956457414,3.85861858092226,0,-10.289649549126,-2.81085217219771,0,0,0,0.914114363991653,0.128377317822684,-0.380858623284532,-0.053487408636054,3.39109420270213,0.386442711230812,-0.751264638032931
0.12,1.42385312712366,0.471849840924177,1,-1.25826624246447,3.79694167232976,0,-10.1251777928794,-3.35537664657192,0,0,0,0.913584925304736,0.151919277220581,-0.372094826449269,-0.061875339145767,3.39109420270213,0.445960364857567,-0.722257690724153
0.14,1.39667517521016,0.547081762583675,1,-1.45888470022313,3.72446713389377,0,-9.93191235705005,-3.89035920059502,0,0,0,0.913061178478955,0.174438594392944,-0.362084525280699,-0.069175557049333,3.39109420270213,0.498669516011431,-0.690699966801691
0.16,1.36552539995699,0.620757909391649,1,-1.6553544250444,3.64140106655198,0,-9.71040284413862,-4.41427846678506,0,0,0,0.912574478722549,0.195861175604884,-0.350959294722634,-0.075324591752839,3.39109420270213,0.544956572372518,-0.65738214039557
0.18,1.33049238416893,0.692668763312224,1,-1.84711670216593,3.54797969111714,0,-9.46127917631236,-4.92564453910915,0,0,0,0.912150848163832,0.216139699917333,-0.338847542091102,-0.080291989217273,3.39109420270213,0.585369152455513,-0.622972166534157
0.2,1.29167575369472,0.762609826396952,1,-2.0336262037252,3.44446867651924,0,-9.18524980405131,-5.42300320993388,0,0,0,0.91180988779772,0.235249652699251,-0.325870568733075,-0.084075572271454,3.39109420270213,0.620521962960998,-0.588010197874832
0.22,1.24918589411407,0.830382202330001,1,-2.21435253954667,3.3311623843042,0,-8.88309969147786,-5.90494010545778,0,0,0,0.911564448798662,0.253184960995107,-0.312140036181586,-0.086696188064155,3.39109420270213,0.651033582633526,-0.552916250737409
0.24,1.20314363682644,0.895793162043588,1,-2.38878176544957,3.20838303153717,0,-8.55568808409912,-6.37008470786551,0,0,0,0.911420897061294,0.269953709878451,-0.297756647590607,-0.088192526545339,3.39109420270213,0.677488671040989,-0.518004552635416
0.26,1.15367991543424,0.958656691795168,1,-2.55641784478711,3.07647977449129,0,-8.20394606531012,-6.81711425276564,0,0,0,0.911379782310202,0.285574252639825,-0.282809782169467,-0.088616396534006,3.39109420270213,0.700418503335636,-0.483500327495356
0.28,1.10093539339779,1.01879402214778,1,-2.71678405906076,2.93582771572743,0,-7.82887390860648,-7.24475749082869,0,0,0,0.911436737736213,0.300071879593039,-0.267377810857664,-0.088028668303199,3.39109420270213,0.7202935088193,-0.449556411588907
0.3,1.04506006402075,1.07603413634928,1,-2.86942436359809,2.78682683738866,0,-7.43153823303643,-7.65179830292824,0,0,0,0.911583470196942,0.313476097515534,-0.251528851124413,-0.086495954831226,3.39109420270213,0.737523029531743,-0.416268310235428
0.32,0.986212823903611,1.13021425666467,1,-3.01390468443911,2.62990086374296,0,-7.01306896998124,-8.03707915850429,0,0,0,0.911808740689638,0.325818496915851,-0.235321766373261,-0.084088011871139,3.39109420270213,0.752459016633151,-0.38368710849391
0.34,0.924561021078275,1.18118030727857,1,-3.14981415274285,2.46549605620873,0,-6.57465614988995,-8.39950440731428,0,0,0,0.912099271418355,0.337131141997015,-0.218807266235206,-0.080875783869895,3.39109420270213,0.765401567237848,-0.351830128981994
