t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz,thrust_N,roll,pitch
0.6,1.38159149100433,0.584127513462976,1,-0.38941834230865,0.921060994002885,0,-0.61404066266859,-0.259612228205767,0,0,0,0.999424456913951,0.013222089586535,-0.031237165151109,-0.000413258444098,2.30083460761525,0.02650958307231,-0.062468065190106
0.62,1.37368054860936,0.602496265857538,1,-0.401664177238359,0.915787032406242,0,-0.610524688270828,-0.267776118158906,0,0,0,0.999424452497858,0.01363772520788,-0.031057955355535,-0.000423803779864,2.30083460761525,0.027342196060339,-0.062108523194272
0.64,1.36552539995699,0.620757909391649,1,-0.4138386062611,0.910350266637996,0,-0.606900177758664,-0.275892404174066,0,0,0,0.999424448101727,0.014050923211087,-0.030873219732127,-0.000434047056342,2.30083460761525,0.028169860273255,-0.061737915920393
0.66,1.35712749482995,0.638909197598999,1,-0.425939465066,0.904751663219963,0,-0.603167775479976,-0.283959643377333,0,0,0,0.999424443738077,0.014461609970854,-0.030682991652753,-0.000443980994062,2.30083460761525,0.028992427453393,-0.061356312089052
0.68,1.34848832616701,0.656946903631712,1,-0.437964602421141,0.898992217444674,0,-0.599328144963116,-0.291976401614094,0,0,0,0.999424439419337,0.014869712329729,-0.030487305472002,-0.000453598535514,2.30083460761525,0.029809750392804,-0.060963782409076
0.7,1.33960942979764,0.674867820833999,1,-0.449911880556,0.893072953198429,0,-0.595381968798953,-0.299941253704,0,0,0,0.999424435157805,0.015275157611345,-0.030286196520207,-0.000462892850145,2.30083460761525,0.030621682960933,-0.060560399560328
0.72,1.33049238416893,0.692668763312224,1,-0.461779175541483,0.886994922779284,0,-0.591329948519523,-0.307852783694322,0,0,0,0.999424430965613,0.015677873633537,-0.030079701096303,-0.000471857339195,2.30083460761525,0.031428080131887,-0.060146238176119
0.74,1.32113881006496,0.710346566501273,1,-0.473564377667516,0.880759206709972,0,-0.587172804473314,-0.315709585111677,0,0,0,0.999424426854696,0.016077788721341,-0.029867856460482,-0.000480485640362,2.30083460761525,0.032228798011252,-0.059721374825217
0.76,1.31155037031872,0.727898087727138,1,-0.485265391818092,0.874366913545814,0,-0.582911275697209,-0.323510261212061,0,0,0,0.999424422836754,0.016474831719861,-0.029650700826697,-0.000488771632285,2.30083460761525,0.033023693862477,-0.059285887993505
0.78,1.30172876951647,0.745320206765605,1,-0.496880137843737,0.86781917967765,0,-0.5785461197851,-0.331253425229158,0,0,0,0.999424418923223,0.016868932007011,-0.029428273354971,-0.000496709438862,2.30083460761525,0.033812626132813,-0.058839858065259
0.8,1.29167575369472,0.762609826396952,1,-0.508406550931301,0.86111716912981,0,-0.574078112753207,-0.338937700620867,0,0,0,0.999424415125236,0.017260019506122,-0.029200614143547,-0.000504293433381,2.30083460761525,0.034595454478799,-0.058383367304086
0.82,1.28139311002978,0.779763872956558,1,-0.519842581971038,0.854262073353186,0,-0.569508048902124,-0.346561721314026,0,0,0,0.9994244114536,0.017648024698426,-0.028967764220868,-0.00051151824247,2.30083460761525,0.035372039791285,-0.05791649983352
0.84,1.27088266652012,0.796779296881325,1,-0.531186197920883,0.847255111013416,0,-0.564836740675611,-0.354124131947256,0,0,0,0.999424407918758,0.018032878635393,-0.028729765537387,-0.000518378749862,2.30083460761525,0.036142244220006,-0.05743934161729
