t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz,thrust_N,roll,pitch
0.0,1.5,0.0,1.0,-0.0,1.5,0.0,-1.5,-0.0,0.0,0.0,0.0,0.9971236308716509,0.0,-0.07579224734321895,0.0,2.322219819827572,0.0,-0.15172999976434953
0.02,1.4997000099998665,0.02999800003999962,1.0,-0.02999800003999962,1.4997000099998665,0.0,-1.4997000099998665,-0.02999800003999962,0.0,0.0,0.0,0.9971236241406543,0.001524548654073335,-0.0757769127685804,-0.00011585884395300988,2.322219819827572,0.0030934160948836798,-0.1516987050774259
0.04,1.4988001599914669,0.05998400127995124,1.0,-0.05998400127995124,1.4988001599914669,0.0,-1.4988001599914669,-0.05998400127995124,0.0,0.0,0.0,0.9971236039914717,0.0030484660800205042,-0.07573091582632975,-0.0002315290974772961,2.322219819827572,0.006185448997918878,-0.15160483706437589
0.06,1.4973008099028062,0.08994600971916689,1.0,-0.08994600971916689,1.4973008099028062,0.0,-1.4973008099028062,-0.08994600971916689,0.0,0.0,0.0,0.9971235705552359,0.0045711213818188795,-0.07565427685629118,-0.00034682249299479456,2.322219819827572,0.009274716630930959,-0.15144844384807477
0.08,1.495202559453929,0.11987204095375904,1.0,-0.11987204095375904,1.495202559453929,0.0,-1.495202559453929,-0.11987204095375904,0.0,0.0,0.0,0.9971235240495343,0.006091884327207812,-0.07554702974094746,-0.0004615514079709121,2.322219819827572,0.012359839140255815,-0.15122960556576737
0.1,1.4925062479170388,0.14975012497024223,1.0,-0.14975012497024223,1.4925062479170388,0.0,-1.4925062479170388,-0.14975012497024223,0.0,0.0,0.0,0.9971234647769656,0.007610125678458462,-0.07540922187964642,-0.0005755291857936888,2.322219819827572,0.015439440001916176,-0.1509484342679921
0.12,1.4892129537807994,0.17956831093337905,1.0,-0.17956831093337905,1.4892129537807994,0.0,-1.4892129537807994,-0.17956831093337905,0.0,0.0,0.0,0.9971233931231346,0.009125217521814655,-0.07524091415257557,-0.0006885704546875955,2.322219819827572,0.018512147118341996,-0.1506050737775635
0.14,1.4853239943189558,0.20931467196635473,1.0,-0.20931467196635473,1.4853239943189558,0.0,-1.4853239943189558,-0.20931467196635473,0.0,0.0,0.0,0.9971233095540953,0.010636533595169025,-0.07504218087458892,-0.0008004914440163457,2.322219819827572,0.021576593903880704,-0.15019969950910594
0.16,1.4808409250634404,0.23897730992136895,1.0,-0.23897730992136895,1.4808409250634404,0.0,-1.4808409250634404,-0.23897730992136895,0.0,0.0,0.0,0.9971232146132646,0.012143449613545021,-0.07481310973899542,-0.000911110297337189,2.322219819827572,0.02463142035639789,-0.14973251824975442
0.18,1.4757655391821822,0.2685443601387363,1.0,-0.2685443601387363,1.4757655391821822,0.0,-1.4757655391821822,-0.2685443601387363,0.0,0.0,0.0,0.997123108917823,0.013645343591962907,-0.0745538017514396,-0.0010202473815791586,2.322219819827572,0.027675274112336144,-0.14920376790177836
