t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz,thrust_N,roll,pitch
0,1.5,0,1,0,3,0,-6,0,0,0,0,0.962571636534896,0,-0.271027387063616,0,2.69085857889262,0,-0.548920414058536
0.02,1.49880015999147,0.059984001279951,1,-0.119968002559902,2.99760031998293,0,-5.99520063996587,-0.239936005119805,0,0,0,0.962565942661764,0.01176960741887,-0.270771713588655,-0.003310813969026,2.69085857889262,0.02865389618922,-0.54824861044195
0.04,1.49520255945393,0.119872040953759,1,-0.239744081907518,2.99040511890786,0,-5.98081023781572,-0.479488163815036,0,0,0,0.962549045932751,0.023509457341966,-0.270005833185169,-0.006594667195579,2.69085857889262,0.057164094760883,-0.546239520938337
0.06,1.4892129537808,0.179568310933379,1,-0.359136621866758,2.9784259075616,0,-5.9568518151232,-0.718273243733516,0,0,0,0.962521493534845,0.035190078172175,-0.268733144470062,-0.009824965390254,2.69085857889262,0.085390259488799,-0.542911902618216
0.08,1.48084092506344,0.238977309921369,1,-0.477954619842738,2.96168185012688,0,-5.92336370025376,-0.955909239685476,0,0,0,0.962484172925641,0.046782561505345,-0.266959241228937,-0.012975836355054,2.69085857889262,0.113198585969026,-0.538296341181355
0.1,1.47009986676186,0.298003996192592,1,-0.596007992385184,2.94019973352373,0,-5.88039946704745,-1.19201598477037,0,0,0,0.962438276509071,0.058258822700163,-0.264691809688404,-0.016022464595605,2.69085857889262,0.140464609671107,-0.532434283591523
0.12,1.45700696227804,0.356553939640702,1,-0.713107879281404,2.91401392455609,0,-5.82802784911218,-1.42621575856281,0,0,0,0.962385254970566,0.069591837528732,-0.261940490737697,-0.018941395848975,2.69085857889262,0.167075516141046,-0.525376771911706
0.14,1.44158315746616,0.414533472846171,1,-0.829066945692341,2.88316631493231,0,-5.76633262986463,-1.65813389138468,0,0,0,0.962326761785224,0.080755848997896,-0.258716712624369,-0.021710804071547,2.69085857889262,0.192931864701155,-0.517182954870691
0.16,1.42385312712366,0.471849840924177,1,-0.943699681848353,2.84770625424732,0,-5.69541250849465,-1.88739936369671,0,0,0,0.962264591773316,0.091726539967351,-0.255033500552671,-0.024310715349452,2.69085857889262,0.217948687923627,-0.507918461128474
0.18,1.4038452355169,0.528411349912635,1,-1.05682269982527,2.8076904710338,0,-5.61538094206761,-2.11364539965054,0,0,0,0.96220061672721,0.10248116885455,-0.25090527010953,-0.026723185275074,2.69085857889262,0.242055977616974,-0.497653718064472
