time,position,rotation_matrix,velocity,action,lin_acc,obs,obs_norm
82.433,[0.13998224 0.1611442  0.60440868],"[[ 0.96730802 -0.08637209  0.23844298]
 [ 0.00732116  0.94933491  0.31418089]
 [-0.2534987  -0.30216401  0.91893162]]",[1.05573261 1.2125354  0.63969712],[ 1.7589115   1.0568194  -0.37443388  0.03676118],[ 2.19687599  2.97202546 -3.30183927],"[ 0.13998224  0.1611442   0.60440868  0.96730802 -0.08637209  0.23844298
  0.00732116  0.94933491  0.31418089 -0.2534987  -0.30216401  0.91893162
  1.05573261  1.2125354   0.63969712  1.8775562   0.77383959 -0.37206209
  0.06105977  1.83467364  0.85903198 -0.39679593  0.06020705  1.79759192
  0.92342836 -0.37871808  0.05551589]","[ 0.02799642  0.03222883 -0.7582365   0.96730804 -0.08637208  0.23844302
  0.00732112  0.94933486  0.31418085 -0.25349867 -0.30216402  0.9189316
  0.1055733   0.12125361  0.06396973 -0.38035953  0.12897325 -0.06201035
  0.01526499 -0.39471835  0.14317203 -0.06613261  0.01505172 -0.40713477
  0.1539048  -0.06311965  0.01387894]"
82.444,[0.14741629 0.16979529 0.6095314 ],"[[ 0.96829749 -0.08397017  0.23526365]
 [ 0.00774717  0.95145018  0.30770529]
 [-0.2496797  -0.29612763  0.92193735]]",[1.0725044  1.23529542 0.61429157],[ 1.7284615   1.0848266  -0.35147023  0.02873797],[ 2.11132662  2.79624769 -3.3593689 ],"[ 0.14741629  0.16979529  0.6095314   0.96829749 -0.08397017  0.23526365
  0.00774717  0.95145018  0.30770529 -0.2496797  -0.29612763  0.92193735
  1.0725044   1.23529542  0.61429157  1.83467364  0.85903198 -0.39679593
  0.06020705  1.79759192  0.92342836 -0.37871808  0.05551589  1.75891149
  1.05681944 -0.37443388  0.03676118]","[ 0.0294832   0.03395915 -0.75618744  0.9682975  -0.08397019  0.23526359
  0.00774717  0.9514501   0.30770528 -0.24967968 -0.29612762  0.92193735
  0.10725045  0.12352955  0.06142914 -0.39471835  0.14317203 -0.06613261
  0.01505172 -0.40713477  0.1539048  -0.06311965  0.01387894 -0.42008656
  0.17613661 -0.06240565  0.00919032]"
82.456,[0.16274461 0.18769136 0.61914665],"[[ 0.97043355 -0.07287862  0.23010308]
 [ 0.00379597  0.9578174   0.28735242]
 [-0.24133858 -0.27798296  0.92977479]]",[1.10443974 1.27739108 0.56149364],[ 1.7080647   1.1126105  -0.3279819   0.01046944],[ 2.07218846  2.65665216 -3.32847793],"[ 0.16274461  0.18769136  0.61914665  0.97043355 -0.07287862  0.23010308
  0.00379597  0.9578174   0.28735242 -0.24133858 -0.27798296  0.92977479
  1.10443974  1.27739108  0.56149364  1.79759192  0.92342836 -0.37871808
  0.05551589  1.75891149  1.05681944 -0.37443388  0.03676118  1.7284615
  1.08482659 -0.35147023  0.02873797]","[ 0.0325489   0.03753829 -0.75234133  0.9704335  -0.0728786   0.23010302
  0.00379598  0.9578173   0.28735244 -0.24133861 -0.27798295  0.92977476
  0.11044395  0.12773919  0.05614936 -0.40713477  0.1539048  -0.06311965
  0.01387894 -0.42008656  0.17613661 -0.06240565  0.00919032 -0.4302824
  0.18080449 -0.05857831  0.00718451]"
82.463,[0.17866585 0.20632872 0.62791729],"[[ 0.97078621 -0.07003033  0.22949922]
 [ 0.00252635  0.95939163  0.28206617]
 [-0.23993281 -0.27324616  0.93154108]]",[1.13274051 1.3219037  0.50210428],[ 1.7205665   1.2395679  -0.3699546  -0.00590613],[ 2.03609732  2.55479328 -3.36878596],"[ 0.17866585  0.20632872  0.62791729  0.97078621 -0.07003033  0.22949922
  0.00252635  0.95939163  0.28206617 -0.23993281 -0.27324616  0.93154108
  1.13274051  1.3219037   0.50210428  1.75891149  1.05681944 -0.37443388
  0.03676118  1.7284615   1.08482659 -0.35147023  0.02873797  1.70806468
  1.11261046 -0.32798189  0.01046944]","[ 0.0357331   0.04126585 -0.74883306  0.9707862  -0.07003033  0.22949922
  0.0025264   0.9593916   0.2820661  -0.23993278 -0.27324617  0.9315411
  0.11327398  0.13219035  0.05021036 -0.42008656  0.17613661 -0.06240565
  0.00919032 -0.4302824   0.18080449 -0.05857831  0.00718451 -0.4371121
  0.18543506 -0.05466366  0.00261736]"
82.47,[0.17866585 0.20632872 0.62791729],"[[ 0.97078621 -0.07003033  0.22949922]
 [ 0.00252635  0.95939163  0.28206617]
 [-0.23993281 -0.27324616  0.93154108]]",[1.13274051 1.3219037  0.50210428],[ 1.7016858e+00  1.2440426e+00 -3.6281270e-01  1.1602864e-03],[ 1.91994607  2.33181486 -2.91729598],"[ 0.17866585  0.20632872  0.62791729  0.97078621 -0.07003033  0.22949922
  0.00252635  0.95939163  0.28206617 -0.23993281 -0.27324616  0.93154108
  1.13274051  1.3219037   0.50210428  1.7284615   1.08482659 -0.35147023
  0.02873797  1.70806468  1.11261046 -0.32798189  0.01046944  1.72056651
  1.23956788 -0.36995459 -0.00590613]","[ 0.0357331   0.04126585 -0.74883306  0.9707862  -0.07003033  0.22949922
  0.0025264   0.9593916   0.2820661  -0.23993278 -0.27324617  0.9315411
  0.11327398  0.13219035  0.05021036 -0.4302824   0.18080449 -0.05857831
  0.00718451 -0.4371121   0.18543506 -0.05466366  0.00261736 -0.432926
  0.2065947  -0.0616591  -0.00147653]"
82.476,[0.18684031 0.21590631 0.63201612],"[[ 0.97089695 -0.06810998  0.22960866]
 [ 0.00259816  0.96164854  0.27427239]
 [-0.23948352 -0.26569367  0.9338386 ]]",[1.15011084 1.3343078  0.48842182],[ 1.6656797   1.2336544  -0.40063107 -0.00375786],[ 1.91994607  2.33181486 -2.91729598],"[ 1.86840311e-01  2.15906307e-01  6.32016122e-01  9.70896954e-01
 -6.81099814e-02  2.29608656e-01  2.59816375e-03  9.61648536e-01
  2.74272389e-01 -2.39483516e-01 -2.65693666e-01  9.33838595e-01
  1.15011084e+00  1.33430780e+00  4.88421816e-01  1.70806468e+00
  1.11261046e+00 -3.27981889e-01  1.04694404e-02  1.72056651e+00
  1.23956788e+00 -3.69954586e-01 -5.90612739e-03  1.70168579e+00
  1.24404263e+00 -3.62812698e-01  1.16028637e-03]","[ 3.73681784e-02  4.31813002e-02 -7.47193575e-01  9.70896959e-01
 -6.81099892e-02  2.29608655e-01  2.59816647e-03  9.61648464e-01
  2.74272442e-01 -2.39483535e-01 -2.65693665e-01  9.33838606e-01
  1.15011096e-01  1.33430839e-01  4.88421917e-02 -4.37112093e-01
  1.85435057e-01 -5.46636581e-02  2.61735916e-03 -4.32925999e-01
  2.06594706e-01 -6.16590977e-02 -1.47652626e-03 -4.39248025e-01
  2.07340479e-01 -6.04687333e-02  2.90036201e-04]"
82.483,[0.1951516  0.22564287 0.63593   ],"[[ 0.97034894 -0.0686039   0.23176808]
 [ 0.00446407  0.96379786  0.26659663]
 [-0.24166714 -0.25765713  0.93552648]]",[1.16452181 1.35090209 0.46484983],[ 1.6373806   1.2402346  -0.45264202 -0.01513363],[ 1.8830537   2.18101604 -2.99919706],"[ 1.95151597e-01  2.25642875e-01  6.35930002e-01  9.70348939e-01
 -6.86038964e-02  2.31768077e-01  4.46406512e-03  9.63797858e-01
  2.66596626e-01 -2.41667144e-01 -2.57657126e-01  9.35526481e-01
  1.16452181e+00  1.35090209e+00  4.64849829e-01  1.72056651e+00
  1.23956788e+00 -3.69954586e-01 -5.90612739e-03  1.70168579e+00
  1.24404263e+00 -3.62812698e-01  1.16028637e-03  1.66567969e+00
  1.23365438e+00 -4.00631070e-01 -3.75785679e-03]","[ 3.9030433e-02  4.5128584e-02 -7.4562800e-01  9.7034895e-01
 -6.8603873e-02  2.3176813e-01  4.4640303e-03  9.6379781e-01
  2.6659656e-01 -2.4166715e-01 -2.5765717e-01  9.3552649e-01
  1.1645222e-01  1.3509023e-01  4.6484947e-02 -4.3292600e-01
  2.0659471e-01 -6.1659098e-02 -1.4765263e-03 -4.3924803e-01
  2.0734048e-01 -6.0468733e-02  2.9003620e-04 -4.5130426e-01
  2.0560908e-01 -6.6771805e-02 -9.3948841e-04]"
82.493,[0.20359747 0.23552747 0.63970125],"[[ 0.96910995 -0.07104741  0.23617402]
 [ 0.00965168  0.96779996  0.25153545]
 [-0.24644015 -0.24148603  0.9385903 ]]",[1.17879701 1.36620975 0.43497193],[ 1.6233046  1.1483299 -0.5189408 -0.0299309],[ 1.88790165  1.96311755 -3.90263449],"[ 2.03597471e-01  2.35527471e-01  6.39701247e-01  9.69109951e-01
 -7.10474056e-02  2.36174025e-01  9.65167821e-03  9.67799961e-01
  2.51535447e-01 -2.46440153e-01 -2.41486029e-01  9.38590299e-01
  1.17879701e+00  1.36620975e+00  4.34971934e-01  1.70168579e+00
  1.24404263e+00 -3.62812698e-01  1.16028637e-03  1.66567969e+00
  1.23365438e+00 -4.00631070e-01 -3.75785679e-03  1.63738060e+00
  1.24023461e+00 -4.52642024e-01 -1.51336268e-02]","[ 4.0719509e-02  4.7105551e-02 -7.4411952e-01  9.6911001e-01
 -7.1047425e-02  2.3617399e-01  9.6516609e-03  9.6779990e-01
  2.5153542e-01 -2.4644017e-01 -2.4148601e-01  9.3859029e-01
  1.1787975e-01  1.3662100e-01  4.3497205e-02 -4.3924803e-01
  2.0734048e-01 -6.0468733e-02  2.9003620e-04 -4.5130426e-01
  2.0560908e-01 -6.6771805e-02 -9.3948841e-04 -4.6077996e-01
  2.0670581e-01 -7.5440288e-02 -3.7834048e-03]"
82.503,[0.220891   0.25570515 0.64652359],"[[ 0.9689153  -0.07195161  0.23669834]
 [ 0.01175105  0.96907719  0.24647781]
 [-0.24711344 -0.23603466  0.93979923]]",[1.20750821 1.39422131 0.38055218],[ 1.6461539   1.2948827  -0.58267224 -0.06304616],[ 1.89212105  1.88870164 -3.12755051],"[ 0.220891    0.25570515  0.64652359  0.9689153  -0.07195161  0.23669834
  0.01175105  0.96907719  0.24647781 -0.24711344 -0.23603466  0.93979923
  1.20750821  1.39422131  0.38055218  1.66567969  1.23365438 -0.40063107
 -0.00375786  1.6373806   1.24023461 -0.45264202 -0.01513363  1.62330461
  1.14832985 -0.51894081 -0.0299309 ]","[ 4.41782475e-02  5.11411428e-02 -7.41390586e-01  9.68915224e-01
 -7.19516277e-02  2.36698389e-01  1.17510557e-02  9.69077110e-01
  2.46477842e-01 -2.47113466e-01 -2.36034632e-01  9.39799309e-01
  1.20750785e-01  1.39422178e-01  3.80553007e-02 -4.51304257e-01
  2.05609083e-01 -6.67718053e-02 -9.39488411e-04 -4.60779965e-01
  2.06705809e-01 -7.54402876e-02 -3.78340483e-03 -4.65493143e-01
  1.91388369e-01 -8.64901543e-02 -7.48270750e-03]"
82.513,[0.22973672 0.26598486 0.64964843],"[[ 0.96933481 -0.07475731  0.23409692]
 [ 0.01928238  0.97280634  0.23081597]
 [-0.24498615 -0.21922401  0.94441655]]",[1.22155833 1.40716065 0.3615807 ],[ 1.5994626   1.2839719  -0.611818   -0.07901855],[ 1.8599066   1.74154676 -2.55845589],"[ 0.22973672  0.26598486  0.64964843  0.96933481 -0.07475731  0.23409692
  0.01928238  0.97280634  0.23081597 -0.24498615 -0.21922401  0.94441655
  1.22155833  1.40716065  0.3615807   1.6373806   1.24023461 -0.45264202
 -0.01513363  1.62330461  1.14832985 -0.51894081 -0.0299309   1.64615393
  1.29488266 -0.58267224 -0.06304616]","[ 0.04594743  0.05319703 -0.7401406   0.96933484 -0.07475734  0.23409688
  0.01928234  0.97280633  0.230816   -0.24498618 -0.21922398  0.9444165
  0.1221559   0.14071608  0.03615808 -0.46077996  0.20670581 -0.07544029
 -0.0037834  -0.46549314  0.19138837 -0.08649015 -0.00748271 -0.4578423
  0.21581388 -0.097112   -0.01576155]"
82.523,[0.23871025 0.2763831  0.65261692],"[[ 0.97024833 -0.07444371  0.23038297]
 [ 0.02158192  0.97436072  0.22395404]
 [-0.24114808 -0.21231893  0.9469785 ]]",[1.23691113 1.42098639 0.32614022],[ 1.578949    1.3492709  -0.6442459  -0.09806775],[ 1.74454512  1.59179227 -2.62267266],"[ 0.23871025  0.2763831   0.65261692  0.97024833 -0.07444371  0.23038297
  0.02158192  0.97436072  0.22395404 -0.24114808 -0.21231893  0.9469785
  1.23691113  1.42098639  0.32614022  1.62330461  1.14832985 -0.51894081
 -0.0299309   1.64615393  1.29488266 -0.58267224 -0.06304616  1.59946263
  1.28397191 -0.61181802 -0.07901855]","[ 0.04774213  0.05527663 -0.73895323  0.97024834 -0.0744437   0.23038292
  0.02158189  0.9743607   0.22395408 -0.24114811 -0.2123189   0.94697857
  0.12369108  0.14209867  0.03261411 -0.46549314  0.19138837 -0.08649015
 -0.00748271 -0.4578423   0.21581388 -0.097112   -0.01576155 -0.4734764
  0.21399534 -0.1019696  -0.01975465]"
82.533,[0.24780418 0.28689045 0.65541172],"[[ 0.97217729 -0.07039298  0.22341923]
 [ 0.02238908  0.97733582  0.21050754]
 [-0.23317387 -0.1996485   0.95171972]]",[1.24714207 1.42978204 0.31858527],[ 1.4974953   1.4131796  -0.67495394 -0.11561486],[ 1.5104651   1.30375865 -3.12310141],"[ 0.24780418  0.28689045  0.65541172  0.97217729 -0.07039298  0.22341923
  0.02238908  0.97733582  0.21050754 -0.23317387 -0.1996485   0.95171972
  1.24714207  1.42978204  0.31858527  1.64615393  1.29488266 -0.58267224
 -0.06304616  1.59946263  1.28397191 -0.61181802 -0.07901855  1.57894897
  1.34927094 -0.64424592 -0.09806775]","[ 0.0495609   0.05737817 -0.7378353   0.97217727 -0.07039297  0.22341919
  0.02238905  0.9773358   0.21050751 -0.23317385 -0.1996485   0.95171976
  0.12471426  0.14297819  0.03185856 -0.4578423   0.21581388 -0.097112
 -0.01576155 -0.4734764   0.21399534 -0.1019696  -0.01975465 -0.4803452
  0.22487855 -0.10737431 -0.02451694]"
82.543,[0.25700846 0.29749435 0.65799201],"[[ 0.97355614 -0.06555503  0.2188401 ]
 [ 0.0211866   0.97972374  0.19922981]
 [-0.22746336 -0.18932493  0.95520495]]",[1.25425491 1.4467146  0.27077291],[ 1.4944795   1.437483   -0.7145645  -0.13151626],[ 1.39690111  1.13290521 -3.19574135],"[ 0.25700846  0.29749435  0.65799201  0.97355614 -0.06555503  0.2188401
  0.0211866   0.97972374  0.19922981 -0.22746336 -0.18932493  0.95520495
  1.25425491  1.4467146   0.27077291  1.59946263  1.28397191 -0.61181802
 -0.07901855  1.57894897  1.34927094 -0.64424592 -0.09806775  1.49749529
  1.41317964 -0.67495394 -0.11561486]","[ 0.05140173  0.05949891 -0.7368032   0.97355616 -0.06555504  0.21884012
  0.02118659  0.9797237   0.19922984 -0.22746336 -0.18932492  0.95520496
  0.12542558  0.14467144  0.02707732 -0.4734764   0.21399534 -0.1019696
 -0.01975465 -0.4803452   0.22487855 -0.10737431 -0.02451694 -0.50761914
  0.2355299  -0.11249232 -0.02890372]"
82.559,[0.27571723 0.3189455  0.66250545],"[[ 0.97542793 -0.05660617  0.21292273]
 [ 0.01768189  0.98342635  0.18044379]
 [-0.21960806 -0.17224504  0.96026244]]",[1.27803838 1.45307815 0.23324765],[ 1.4452524   1.4846628  -0.7689388  -0.14419435],[ 1.23457638  0.81128676 -4.44868589],"[ 0.27571723  0.3189455   0.66250545  0.97542793 -0.05660617  0.21292273
  0.01768189  0.98342635  0.18044379 -0.21960806 -0.17224504  0.96026244
  1.27803838  1.45307815  0.23324765  1.57894897  1.34927094 -0.64424592
 -0.09806775  1.49749529  1.41317964 -0.67495394 -0.11561486  1.49447954
  1.43748295 -0.7145645  -0.13151626]","[ 0.05514348  0.06378913 -0.7349978   0.97542787 -0.05660617  0.21292269
  0.01768184  0.98342633  0.18044376 -0.21960807 -0.17224503  0.9602624
  0.1278038   0.1453079   0.02332485 -0.4803452   0.22487855 -0.10737431
 -0.02451694 -0.50761914  0.2355299  -0.11249232 -0.02890372 -0.50862896
  0.23958051 -0.11909401 -0.03287905]"
82.57,[0.28521144 0.32977369 0.66434145],"[[ 0.9760433  -0.05347982  0.21090136]
 [ 0.01640725  0.98465249  0.17375349]
 [-0.21695686 -0.16613062  0.96194092]]",[1.28725195 1.45860553 0.19574314],[ 1.4321611   1.6208981  -0.78886724 -0.1443046 ],[ 1.08001457  0.54313117 -3.91315544],"[ 0.28521144  0.32977369  0.66434145  0.9760433  -0.05347982  0.21090136
  0.01640725  0.98465249  0.17375349 -0.21695686 -0.16613062  0.96194092
  1.28725195  1.45860553  0.19574314  1.49749529  1.41317964 -0.67495394
 -0.11561486  1.49447954  1.43748295 -0.7145645  -0.13151626  1.44525242
  1.48466277 -0.76893878 -0.14419435]","[ 0.05704236  0.0659548  -0.7342634   0.9760432  -0.05347979  0.21090138
  0.01640725  0.9846525   0.1737535  -0.21695685 -0.1661306   0.961941
  0.12872529  0.14586055  0.0195744  -0.50761914  0.2355299  -0.11249232
 -0.02890372 -0.50862896  0.23958051 -0.11909401 -0.03287905 -0.52511215
  0.24744391 -0.12815648 -0.03604859]"
82.58,[0.29479283 0.34065804 0.66591913],"[[ 0.97765533 -0.04285899  0.20579882]
 [ 0.01185793  0.98868037  0.14956776]
 [-0.20987957 -0.14378537  0.96709686]]",[1.29572761 1.46285463 0.1677325 ],[ 1.4106587   1.6068573  -0.747473   -0.12995642],[ 1.0090649   0.42838535 -4.1281314 ],"[ 0.29479283  0.34065804  0.66591913  0.97765533 -0.04285899  0.20579882
  0.01185793  0.98868037  0.14956776 -0.20987957 -0.14378537  0.96709686
  1.29572761  1.46285463  0.1677325   1.49447954  1.43748295 -0.7145645
 -0.13151626  1.44525242  1.48466277 -0.76893878 -0.14419435  1.43216109
  1.62089813 -0.78886724 -0.1443046 ]","[ 0.05895853  0.06813169 -0.7336323   0.9776554  -0.04285896  0.20579886
  0.01185799  0.98868036  0.14956772 -0.20987958 -0.14378536  0.9670968
  0.12957275  0.14628541  0.01677322 -0.50862896  0.23958051 -0.11909401
 -0.03287905 -0.52511215  0.24744391 -0.12815648 -0.03604859 -0.5294957
  0.2701497  -0.13147783 -0.03607613]"
82.587,[0.31419438 0.36255911 0.66833323],"[[ 0.97816547 -0.03910547  0.20411534]
 [ 0.01041067  0.99012461  0.13980298]
 [-0.20756668 -0.13462547  0.96891282]]",[1.31090903 1.46854019 0.103145  ],[ 1.4543381   1.703627   -0.80010915 -0.13998875],[ 1.0090649   0.42838535 -4.1281314 ],"[ 0.31419438  0.36255911  0.66833323  0.97816547 -0.03910547  0.20411534
  0.01041067  0.99012461  0.13980298 -0.20756668 -0.13462547  0.96891282
  1.31090903  1.46854019  0.103145    1.44525242  1.48466277 -0.76893878
 -0.14419435  1.43216109  1.62089813 -0.78886724 -0.1443046   1.41065872
  1.6068573  -0.747473   -0.12995642]","[ 0.06283891  0.07251191 -0.73266673  0.9781654  -0.03910547  0.20411539
  0.01041067  0.9901246   0.13980293 -0.20756668 -0.1346255   0.96891284
  0.131091    0.14685404  0.01031446 -0.52511215  0.24744391 -0.12815648
 -0.03604859 -0.5294957   0.2701497  -0.13147783 -0.03607613 -0.53669554
  0.26780963 -0.12457877 -0.03248912]"
82.593,[0.32400516 0.37356222 0.66915399],"[[ 0.9787006  -0.03636184  0.20204689]
 [ 0.00970331  0.99128243  0.13139631]
 [-0.20506335 -0.12663712  0.97052154]]",[1.31427221 1.47401077 0.05338558],[ 1.503572    1.7645077  -0.79737675 -0.13289315],[ 0.92247735  0.31556916 -4.36820875],"[ 0.32400516  0.37356222  0.66915399  0.9787006  -0.03636184  0.20204689
  0.00970331  0.99128243  0.13139631 -0.20506335 -0.12663712  0.97052154
  1.31427221  1.47401077  0.05338558  1.43216109  1.62089813 -0.78886724
 -0.1443046   1.41065872  1.6068573  -0.747473   -0.12995642  1.45433807
  1.70362699 -0.80010915 -0.13998875]","[ 0.0648011   0.07471251 -0.7323384   0.97870064 -0.03636181  0.20204687
  0.00970328  0.99128246  0.1313963  -0.20506334 -0.1266371   0.97052157
  0.13142717  0.1474011   0.00533855 -0.5294957   0.2701497  -0.13147783
 -0.03607613 -0.53669554  0.26780963 -0.12457877 -0.03248912 -0.52206993
  0.28393793 -0.13335145 -0.03499717]"
82.603,[0.33388379 0.38459307 0.66969478],"[[ 0.97979695 -0.03363585  0.19714603]
 [ 0.00996217  0.99274031  0.11986426]
 [-0.19974655 -0.11547863  0.97301901]]",[1.3211243  1.47451588 0.01008287],[ 1.549962    1.7827436  -0.7731947  -0.12181643],[ 0.86379667  0.22362754 -4.35149719],"[ 0.33388379  0.38459307  0.66969478  0.97979695 -0.03363585  0.19714603
  0.00996217  0.99274031  0.11986426 -0.19974655 -0.11547863  0.97301901
  1.3211243   1.47451588  0.01008287  1.41065872  1.6068573  -0.747473
 -0.12995642  1.45433807  1.70362699 -0.80010915 -0.13998875  1.50357199
  1.76450765 -0.79737675 -0.13289315]","[ 0.06677675  0.0769186  -0.73212206  0.9797969  -0.03363585  0.19714606
  0.0099622   0.9927404   0.11986423 -0.19974655 -0.11547863  0.973019
  0.13211238  0.14745164  0.00100839 -0.53669554  0.26780963 -0.12457877
 -0.03248912 -0.52206993  0.28393793 -0.13335145 -0.03499717 -0.5055845
  0.29408467 -0.13289607 -0.03322327]"
82.612,[0.34382689 0.39564702 0.66997892],"[[ 0.98100367 -0.03175047  0.1913732 ]
 [ 0.01098667  0.994025    0.1085983 ]
 [-0.19367779 -0.10443278  0.97549101]]",[ 1.32828959  1.47369972 -0.01887503],[ 1.5608766  1.822671  -0.7713406 -0.1167392],[ 0.80978008  0.13417895 -3.3384643 ],"[ 0.34382689  0.39564702  0.66997892  0.98100367 -0.03175047  0.1913732
  0.01098667  0.994025    0.1085983  -0.19367779 -0.10443278  0.97549101
  1.32828959  1.47369972 -0.01887503  1.45433807  1.70362699 -0.80010915
 -0.13998875  1.50357199  1.76450765 -0.79737675 -0.13289315  1.54996204
  1.78274357 -0.77319467 -0.12181643]","[ 0.0687654   0.07912946 -0.73200846  0.98100376 -0.0317505   0.19137323
  0.01098669  0.994025    0.10859835 -0.19367778 -0.10443276  0.97549105
  0.13282907  0.14736998 -0.0018875  -0.52206993  0.28393793 -0.13335145
 -0.03499717 -0.5055845   0.29408467 -0.13289607 -0.03322327 -0.4900512
  0.2971239  -0.12886578 -0.0304541 ]"
82.623,[0.36389536 0.4178094  0.66980296],"[[ 0.98154021 -0.03063775  0.18878599]
 [ 0.01121563  0.9946077   0.10310062]
 [-0.19092677 -0.09908005  0.97659107]]",[ 1.33980245  1.47310707 -0.07032129],[ 1.5967515   1.9365095  -0.7942374  -0.11931641],[ 0.75000373  0.07319653 -4.32173748],"[ 0.36389536  0.4178094   0.66980296  0.98154021 -0.03063775  0.18878599
  0.01121563  0.9946077   0.10310062 -0.19092677 -0.09908005  0.97659107
  1.33980245  1.47310707 -0.07032129  1.50357199  1.76450765 -0.79737675
 -0.13289315  1.54996204  1.78274357 -0.77319467 -0.12181643  1.56087661
  1.82267106 -0.77134061 -0.1167392 ]","[ 0.07277906  0.0835619  -0.7320788   0.9815402  -0.03063774  0.18878603
  0.01121569  0.9946077   0.10310066 -0.19092679 -0.09908003  0.9765911
  0.13398027  0.14731073 -0.0070321  -0.5055845   0.29408467 -0.13289607
 -0.03322327 -0.4900512   0.2971239  -0.12886578 -0.0304541  -0.48639655
  0.30377853 -0.12855673 -0.02918482]"
82.633,[0.37401506 0.42891291 0.66931331],"[[ 0.98292597 -0.02814549  0.1818361 ]
 [ 0.01030602  0.99510178  0.09831699]
 [-0.1837126  -0.09476432  0.97840145]]",[ 1.34636426  1.47217715 -0.09423938],[ 1.6148677   2.0152535  -0.7125463  -0.10211724],[ 0.71164637  0.04287121 -4.57664305],"[ 0.37401506  0.42891291  0.66931331  0.98292597 -0.02814549  0.1818361
  0.01030602  0.99510178  0.09831699 -0.1837126  -0.09476432  0.97840145
  1.34636426  1.47217715 -0.09423938  1.54996204  1.78274357 -0.77319467
 -0.12181643  1.56087661  1.82267106 -0.77134061 -0.1167392   1.59675145
  1.93650949 -0.79423738 -0.11931641]","[ 0.07480299  0.08578265 -0.73227465  0.9829259  -0.02814549  0.18183613
  0.010306    0.9951018   0.09831703 -0.1837126  -0.09476435  0.9784014
  0.1346364   0.14721775 -0.00942391 -0.4900512   0.2971239  -0.12886578
 -0.0304541  -0.48639655  0.30377853 -0.12855673 -0.02918482 -0.47438425
  0.32275164 -0.13237286 -0.02982908]"
82.648,[0.38389984 0.43993995 0.66900784],"[[ 0.9842195  -0.02567909  0.17507871]
 [ 0.00877043  0.99527733  0.09667534]
 [-0.17673441 -0.09361424  0.97979657]]",[ 1.35088896  1.47187579 -0.12915214],[ 1.6380157   2.0831852  -0.6539552  -0.09323832],[ 0.62374497  0.03774526 -4.09174162],"[ 0.38389984  0.43993995  0.66900784  0.9842195  -0.02567909  0.17507871
  0.00877043  0.99527733  0.09667534 -0.17673441 -0.09361424  0.97979657
  1.35088896  1.47187579 -0.12915214  1.56087661  1.82267106 -0.77134061
 -0.1167392   1.59675145  1.93650949 -0.79423738 -0.11931641  1.61486769
  2.01525354 -0.71254629 -0.10211724]","[ 0.07677996  0.08798802 -0.73239684  0.98421955 -0.02567911  0.17507875
  0.00877047  0.9952774   0.0966754  -0.17673439 -0.09361422  0.97979665
  0.13508892  0.14718759 -0.01291519 -0.48639655  0.30377853 -0.12855673
 -0.02918482 -0.47438425  0.32275164 -0.13237286 -0.02982908 -0.46831816
  0.3358755  -0.11875772 -0.02552933]"
82.66,[0.39383954 0.45098126 0.66841352],"[[ 0.9863964  -0.02080017  0.16306283]
 [ 0.00528937  0.99546472  0.09498433]
 [-0.16429898 -0.0928297   0.98203284]]",[ 1.34752738  1.47645499 -0.18124612],[ 1.6943729   2.232108   -0.5379399  -0.07326856],[ 0.58989407  0.04096042 -3.92530981],"[ 0.39383954  0.45098126  0.66841352  0.9863964  -0.02080017  0.16306283
  0.00528937  0.99546472  0.09498433 -0.16429898 -0.0928297   0.98203284
  1.34752738  1.47645499 -0.18124612  1.59675145  1.93650949 -0.79423738
 -0.11931641  1.61486769  2.01525354 -0.71254629 -0.10211724  1.63801575
  2.0831852  -0.65395522 -0.09323832]","[ 0.0787679   0.09019625 -0.73263454  0.98639643 -0.02080017  0.16306281
  0.00528932  0.9954648   0.09498429 -0.16429901 -0.0928297   0.9820328
  0.13475275  0.14764547 -0.01812458 -0.47438425  0.32275164 -0.13237286
 -0.02982908 -0.46831816  0.3358755  -0.11875772 -0.02552933 -0.4605673
  0.34719753 -0.10899258 -0.02330959]"
82.672,[0.41387433 0.47310665 0.66640747],"[[ 0.98778069 -0.01707418  0.15491218]
 [ 0.0025316   0.99560743  0.09359181]
 [-0.15582973 -0.09205601  0.98348502]]",[ 1.35667308  1.47495822 -0.240564  ],[ 1.7579052   2.3729587  -0.46502084 -0.06645705],[ 0.54085319  0.02785553 -4.30917216],"[ 0.41387433  0.47310665  0.66640747  0.98778069 -0.01707418  0.15491218
  0.0025316   0.99560743  0.09359181 -0.15582973 -0.09205601  0.98348502
  1.35667308  1.47495822 -0.240564    1.61486769  2.01525354 -0.71254629
 -0.10211724  1.63801575  2.0831852  -0.65395522 -0.09323832  1.69437289
  2.23210812 -0.53793991 -0.07326856]","[ 0.08277488  0.09462142 -0.733437    0.9877807  -0.01707417  0.15491223
  0.00253165  0.9956074   0.09359181 -0.15582973 -0.09205604  0.983485
  0.13566732  0.14749587 -0.02405643 -0.46831816  0.3358755  -0.11875772
 -0.02552933 -0.4605673   0.34719753 -0.10899258 -0.02330959 -0.44169664
  0.3720181  -0.08965665 -0.01831716]"
