t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz,thrust_N,roll,pitch
0.28,1.3966751752101632,0.5470817625836746,1.0,-0.7294423501115661,1.8622335669468841,0.0,-2.482978089262512,-0.9725898001487547,0.0,0.0,0.0,0.9911884386729506,0.04901439517489154,-0.12290699272540198,-0.0060777665236550465,2.378840030687226,0.10188510702063633,-0.24551115574100058
0.3,1.3815914910043277,0.5841275134629758,1.0,-0.7788366846173009,1.8421219880057702,0.0,-2.45616265067436,-1.0384489128230678,0.0,0.0,0.0,0.9911863141998568,0.05231544044866913,-0.1215386131475269,-0.006414884857915038,2.378840030687226,0.1086582926090007,-0.2426374220731251
0.32,1.365525399956994,0.6207579093916495,1.0,-0.8276772125221994,1.820700533275992,0.0,-2.427600711034656,-1.1035696166962659,0.0,0.0,0.0,0.9911842038180257,0.05557603792667517,-0.12008265404934725,-0.006733075557575757,2.378840030687226,0.11533172164233291,-0.2395851684695145
0.34,1.3484883261670106,0.6569469036317122,1.0,-0.8759292048422829,1.7979844348893474,0.0,-2.3973125798524633,-1.167905606456377,0.0,0.0,0.0,0.991182132113307,0.05879378915076197,-0.11854041569210982,-0.007031442537393188,2.378840030687226,0.12190017594634772,-0.2363580295752099
0.36,1.3304923841689262,0.6926687633122244,1.0,-0.9235583510829658,1.7739898455585683,0.0,-2.365319794078091,-1.2314111347772876,0.0,0.0,0.0,0.991180123122698,0.061966348508291,-0.11691326463541879,-0.007309153939463731,2.378840030687226,0.1283586740334364,-0.2329597859979966
0.38,1.3115503703187215,0.7278980877271384,1.0,-0.9705307836361845,1.7487338270916286,0.0,-2.331645102788838,-1.294041044848246,0.0,0.0,0.0,0.9911782000518116,0.06509142515161091,-0.11520263090266074,-0.007565444262471896,2.378840030687226,0.13470247479111414,-0.22939435089761018
0.4,1.2916757536947154,0.7626098263969517,1.0,-1.0168131018626023,1.7222343382596206,0.0,-2.2963124510128274,-1.3557508024834697,0.0,0.0,0.0,0.9911763850050956,0.0681667847166959,-0.11341000509897743,-0.0077996162128717746,2.378840030687226,0.14092707973433866,-0.22566575658564703
0.42,1.2708826665201243,0.7967792968813251,1.0,-1.0623723958417668,1.6945102220268322,0.0,-2.259346962702443,-1.4164965277890222,0.0,0.0,0.0,0.991174698731995,0.07119025084180695,-0.11153693549781189,-0.008011042277787874,2.378840030687226,0.14702823387199454,-0.22177814123084238
0.44,1.2491858941140734,0.830382202330001,1.0,-1.1071762697733347,1.665581192152098,0.0,-2.220774922869464,-1.4762350263644461,0.0,0.0,0.0,0.9911731603919642,0.07415970648844174,-0.10958502511160281,-0.008199166021193718,2.378840030687226,0.1530019252490733,-0.2177357357589036
0.46,1.226600864378218,0.8633946487595394,1.0,-1.1511928650127192,1.6354678191709573,0.0,-2.1806237588946096,-1.5349238200169588,0.0,0.0,0.0,0.9911717873409349,0.0770730950681561,-0.10755592876163272,-0.008363503106588864,2.378840030687226,0.1588443832357773,-0.21354285102991044
0.48,1.203143636826439,0.8957931620435879,1.0,-1.194390882724784,1.6041915157685853,0.0,-2.13892202102478,-1.5925211769663785,0.0,0.0,0.0,0.9911705949415102,0.07992842138006624,-0.10545135016135646,-0.00850364205093392,2.378840030687226,0.1645520756429108,-0.2092038653695707
0.5,1.178830891165422,0.9275547046046055,1.0,-1.236739606139474,1.571774521553896,0.0,-2.095699362071861,-1.6489861415192986,0.0,0.0,0.0,0.9911695963988015,0.08272375236496075,-0.10327303902676195,-0.008619244716006618,2.378840030687226,0.1701217047494697,-0.20472321252342485
0.52,1.1536799154342354,0.9586566917951677,1.0,-1.2782089223935569,1.5382398872456473,0.0,-2.0509865163275296,-1.704278563191409,0.0,0.0,0.0,0.9911688026234624,0.08545721768296657,-0.10102278822646159,-0.008710046544603183,2.378840030687226,0.1755502023333508,-0.2001053700956572
0.54,1.1277085937113425,0.9890770079572097,1.0,-1.3187693439429462,1.50361145828179,0.0,-2.0048152777090533,-1.7583591252572615,0.0,0.0,0.0,0.9911682221230911,0.0881270101226114,-0.09870243098329236,-0.008775856550121247,2.378840030687226,0.18083472379961302,-0.19535484852653462
0.56,1.1009353933977866,1.0187940221477847,1.0,-1.3583920295303795,1.4679138578637154,0.0,-1.9572184771516206,-1.8111893727071726,0.0,0.0,0.0,0.9911678609228037,0.09073138584990983,-0.09631383813823031,-0.008816557069021168,2.378840030687226,0.18597264150282175,-0.1904761806548425
0.58,1.0733793520855974,1.0477866035201553,1.0,-1.3970488046935403,1.4311724694474632,0.0,-1.9082299592632843,-1.862731739591387,0.0,0.0,0.0,0.9911677225154049,0.09326866450676866,-0.0938589154864165,-0.008832103286470449,2.378840030687226,0.19096153736079868,-0.18547391190410023
0.6,1.0450600640207481,1.076034136349284,1.0,-1.4347121817990454,1.393413418694331,0.0,-1.857884558259108,-1.9129495757320605,0.0,0.0,0.0,0.9911678078412155,0.09573722916855944,-0.0913396011940559,-0.00882252254613281,2.378840030687226,0.19579919485669212,-0.18035259112392343
0.62,1.0159976661702965,1.1035165346910352,1.0,-1.471355379588047,1.3546635548937287,0.0,-1.8062180731916382,-1.9618071727840625,0.0,0.0,0.0,0.9911681152972662,0.09813552617114589,-0.08875786330390556,-0.008787913455572635,2.378840030687226,0.20048359052480363,-0.1751167621107339
0.64,0.9862128239036114,1.1302142566646665,1.0,-1.5069523422195552,1.314950431871482,0.0,-1.7532672424953093,-2.0092697896260736,0.0,0.0,0.0,0.9911686407752348,0.10046206481798592,-0.08611569733602141,-0.008728444799111933,2.378840030687226,0.20501288501319603,-0.1697709558251943
0.66,0.9557267162978703,1.156108318348454,1.0,-1.5414777577979386,1.2743022883971604,0.0,-1.6990697178628804,-2.055303677063918,0.0,0.0,0.0,0.9911693777271817,0.10271541697815431,-0.08341512398939618,-0.008644354270207901,2.378840030687226,0.20938541381289194,-0.16431968331730173
0.68,0.9245610210782746,1.1811803072785705,1.0,-1.5749070763714275,1.2327480281043661,0.0,-1.643664037472488,-2.0998761018285697,0.0,0.0,0.0,0.9911703172578586,0.10489421658626208,-0.08065818694910508,-0.008535947035522027,2.378840030687226,0.2135996777395937,-0.15876742936405908
0.7000000000000001,0.8927378992036918,1.2054123955416167,1.0,-1.6072165273888224,1.1903171989382557,0.0,-1.587089598584341,-2.142955369851763,0.0,0.0,0.0,0.991171448242089,0.10699715905528623,-0.07784695080258588,-0.008403594142835829,2.378840030687226,0.2176543332494448,-0.15311864681910903
0.72,0.860279979108685,1.2287873524514974,1.0,-1.6383831366019965,1.1470399721449134,0.0,-1.529386629526551,-2.184510848802662,0.0,0.0,0.0,0.9911727574654875,0.10902300061327713,-0.074983499067727,-0.008247730784843645,2.378840030687226,0.221548182665533,-0.14737775166866118
0.74,0.8272103406131359,1.2512885568016274,1.0,-1.6683847424021698,1.1029471208175146,0.0,-1.4705961610900193,-2.2245129898695595,0.0,0.0,0.0,0.9911742297865773,0.11097055757478891,-0.07206993233452422,-0.008068854430629758,2.378840030687226,0.22528016438673293,-0.14154911878349297
0.76,0.7935524985109002,1.2729000086837565,1.0,-1.697200011578342,1.0580699980145336,0.0,-1.4107599973527114,-2.2629333487711225,0.0,0.0,0.0,0.9911758483181768,0.11283870555768558,-0.06910836652119902,-0.007867522836326142,2.378840030687226,0.2288493431452008,-0.13563707835276073
0.78,0.7593303858491676,1.2936063408650076,1.0,-1.7248084544866769,1.0124405144655568,0.0,-1.3499206859540758,-2.2997446059822355,0.0,0.0,0.0,0.9911775946257877,0.1146263786557242,-0.06610093124485451,-0.007644351946059974,2.378840030687226,0.23225490037347035,-0.12964591298178996
0.8,0.724568336910415,1.3133928297150383,1.0,-1.751190439620051,0.9660911158805533,0.0,-1.2881214878407377,-2.334920586160068,0.0,0.0,0.0,0.9911794489405883,0.11633256857701055,-0.06304976830597862,-0.007400013693846805,2.378840030687226,0.23549612473674716,-0.12357985543296501
0.8200000000000001,0.6892910699090524,1.3322454056755586,1.0,-1.7763272075674115,0.9190547598787366,0.0,-1.225406346504982,-2.3684362767565483,0.0,0.0,0.0,0.9911813903845489,0.11795632375807158,-0.059957030285392246,-0.007135233716577733,2.378840030687226,0.23857240288072845,-0.11744308698619887
0.84,0.6535236694150683,1.3501506632647575,1.0,-1.80020088435301,0.8713648925534245,0.0,-1.1618198567378992,-2.400267845804013,0.0,0.0,0.0,0.9911833972051205,0.11949674846289972,-0.056824879251582375,-0.006850788987697048,2.378840030687226,0.24148321044015858,-0.11123973639329976
0.86,0.61729156851717,1.367095870609524,1.0,-1.822794494146032,0.8230554246895601,0.0,-1.0974072329194133,-2.4303926588613756,0.0,0.0,0.0,0.9911854470169186,0.12095300187590322,-0.05365548557575637,-0.0065475053805811,2.378840030687226,0.24422810334841627,-0.10497387939876845
0.88,0.5806205307381029,1.3830689784986878,1.0,-1.8440919713315838,0.7741607076508039,0.0,-1.0322142768677385,-2.458789295108778,0.0,0.0,0.0,0.9911875170478064,0.12232429719725105,-0.05045102685140362,-0.006226255170019393,2.378840030687226,0.24680670948376904,-0.09864953879815608
0.9,0.5435366317150104,1.3980586289508394,1.0,-1.8640781719344526,0.7247155089533472,0.0,-0.9662873452711296,-2.48543756257927,0.0,0.0,0.0,0.9911895843868034,0.1236099007486358,-0.047213686914652706,-0.005887954479574017,2.378840030687226,0.24921872068354767,-0.09227068500403579
0.92,0.5060662406578555,1.4120541632906387,1.0,-1.8827388843875181,0.6747549875438074,0.0,-0.8996733167250764,-2.5103185125166907,0.0,0.0,0.0,0.9911916262312835,0.12480913109699932,-0.04394565496126415,-0.005533560681962514,2.378840030687226,0.25146388515342055,-0.08584123708887792
0.9400000000000001,0.46823600159909445,1.4250456297278669,1.0,-1.9000608396371559,0.6243146687987926,0.0,-0.8324195583983901,-2.533414452849541,0.0,0.0,0.0,0.9911936201309823,0.12592135820327735,-0.04064912475569873,-0.005164069758979731,2.378840030687226,0.25354200029519774,-0.07936506427360879
0.96,0.43007281444793355,1.4370237904338374,1.0,-1.9160317205784498,0.5734304192639114,0.0,-0.7645738923518818,-2.5547089607712663,0.0,0.0,0.0,0.9911955442264161,0.1269460026027277,-0.03732629392734692,-0.004780513626853811,2.378840030687226,0.255452905973179,-0.07284598783034424
0.98,0.3916038158626347,1.4479801281101283,1.0,-1.9306401708135044,0.5221384211501796,0.0,-0.6961845615335728,-2.5741868944180055,0.0,0.0,0.0,0.9911973774794146,0.12788253462291121,-0.033979363348690866,-0.004383957432326526,2.378840030687226,0.2571964782359729,-0.06628778336771068
1.0,0.3528563599544841,1.4579068520449692,1.0,-1.9438758027266254,0.47047514660597883,0.0,-0.6273001954746384,-2.5918344036355005,0.0,0.0,0.0,0.9911990998935777,0.1287304736449024,-0.03061053658989893,-0.003975496824165181,2.378840030687226,0.25877262350796215,-0.05969418346722577
